ID,URL,NOT FOUND
19665600,https://tallons.law.utexas.edu/record=b2059341,NOT FOUND
19665602,https://tallons.law.utexas.edu/record=b2060326,NOT FOUND
19665603,https://tallons.law.utexas.edu/record=b2059553,NOT FOUND
19665604,https://tallons.law.utexas.edu/record=b2059105,NOT FOUND
19665605,https://tallons.law.utexas.edu/record=b2055759,NOT FOUND
19665606,https://tallons.law.utexas.edu/record=b2059209,NOT FOUND
19665607,https://tallons.law.utexas.edu/record=b2059479,NOT FOUND
19665608,https://tallons.law.utexas.edu/record=b2059480,NOT FOUND
19665609,https://tallons.law.utexas.edu/record=b2055420,NOT FOUND
19665610,https://tallons.law.utexas.edu/record=b2059383,NOT FOUND
19665612,https://tallons.law.utexas.edu/record=b2055825,NOT FOUND
19665651,https://tallons.law.utexas.edu/record=b2055760,NOT FOUND
19665652,https://tallons.law.utexas.edu/record=b2055767,NOT FOUND
19665653,https://tallons.law.utexas.edu/record=b2055487,NOT FOUND
19665654,https://tallons.law.utexas.edu/record=b2055866,NOT FOUND
19665655,https://tallons.law.utexas.edu/record=b2055684,NOT FOUND
19665656,https://tallons.law.utexas.edu/record=b2055524,NOT FOUND